ActivityID,ActivityParentID,ActivityName,ActivityLevel
4,0,AUTO TOURING,0
5,0,BIKING,0
6,0,BOATING,0
7,0,CLIMBING,0
8,0,HISTORIC & CULTURAL SITE,0
9,0,CAMPING,0
10,0,INTERPRETIVE PROGRAMS,0
11,0,FISHING,0
14,0,HIKING,0
15,0,HORSEBACK RIDING,0
16,0,HUNTING,0
18,0,OFF HIGHWAY VEHICLE,0
20,0,PICNICKING,0
22,0,WINTER SPORTS,0
23,0,RECREATIONAL VEHICLES,0
24,0,VISITOR CENTER,0
25,0,WATER SPORTS,0
26,0,WILDLIFE VIEWING,0
27,0,FISH HATCHERY,0
28,0,WILDERNESS,0
30,0,FIRE LOOKOUTS/CABINS OVERNIGHT,0
31,0,FISH VIEWING SITE,0
32,0,DAY USE AREA,0
33,0,DOCUMENTARY SITE,0
34,0,SWIMMING SITE,0
35,0,ORGANIZATION SITE PRIVATELY OWNED,0
36,0,ORGANIZATION SITE FS OWNED,0
37,0,PLAYGROUND PARK SPECIALIZED SPORT SITE,0
38,0,OTHER RECREATION CONCESSION SITE,0
39,0,OBSERVATION SITE,0
40,0,HOTEL/LODGE/RESORT FS OWNED,0
41,0,INFORMATION SITE,0
42,0,RECREATION RESIDENCE,0
43,0,SNOWPARK,0
44,0,HOTEL/LODGE/RESORT PRIVATELY OWNED,0
103,0,ENVIRONMENTAL EDUCATION,0
104,0,PHOTOGRAPHY,0
105,0,PADDLING,0
106,0,SWIMMING,0
107,0,DIVING,0
108,0,SNORKELING,0
109,0,HORSE CAMPING,0
110,0,RECREATIONAL SHOOTING,0
100000,0,MOTOR BOAT,0
100001,0,SNOWMOBILE,0
100002,0,MOUNTAIN BIKING,0
100003,0,OFF ROAD VEHICLE TRAILS,0
100004,0,RANGER STATION,0
100005,0,PADDLE BOATING,0
100006,0,WATER ACTIVITIES,0
100007,0,KAYAKING,0
100008,0,CANOEING,0
100009,0,BERRY PICKING,0
100010,0,BEACH CAMPING,0
100011,0,BEACHCOMBING,0
100012,0,CLAM DIGGING,0
100013,0,CRABBING,0
100014,0,SEA KAYAKING,0
100015,0,STAR GAZING,0
100016,0,SURFING,0
100017,0,BIRDING,0
100018,0,NON-MOTORIZED BOATING,0
100019,0,WATER ACCESS,0
100020,0,CROSS COUNTRY SKIING,0
100021,0,ANTIQUING,0
100022,0,JET SKIING,0
100023,0,WATER SKIING,0
100024,0,DISC GOLF,0
100025,0,CULTURAL ACTIVITIES,0
100026,0,EVENING PROGRAMS,0
100027,0,GUIDED INTERPRETIVE WALKS,0
100028,0,RECREATION PROGRAMS,0
100029,0,SCENIC DRIVE,0
100030,0,WINDSURFING,0
100031,0,GOLD PANNING,0
100032,0,RAFTING,0
100033,0,RIVER TRIPS,0
100034,0,WHITEWATER RAFTING,0
100035,0,ICE CLIMBING,0
100036,0,BACKPACKING,0
100037,0,SAILING,0
100038,0,SCUBA DIVING,0
100039,0,WHALE WATCHING,0
100040,0,MOUNTAIN CLIMBING,0
100041,0,ROCK CLIMBING,0
100042,0,MUSHROOM PICKING,0
100043,0,AMPHITHEATER,0
100044,0,EDUCATIONAL PROGRAMS,0
100045,0,TUBING,0
100046,0,SNOWSHOEING,0
100047,0,ARCHERY,0
100048,0,HISTORIC SITES,0
100049,0,ACCESSIBLE SWIMMING,0
100050,0,SOFTBALL FIELDS,0
100051,0,SNOWMOBILING,0
100052,0,LOOKOUT TOWER,0
100053,0,SLEDDING,0
100054,0,DOWNHILL SKIING,0
100055,0,SKIING,0
100056,0,SNOWMOBILE TRAILS,0
100057,0,SNOWBOARDING,0
100058,0,WOOD CUTTING,0
100059,0,ICE FISHING,0
100060,0,CRAWFISHING,0
100061,0,BIRD WATCHING,0
100062,0,WILD HORSE VIEWING,0
100063,0,OFF HIGHWAY VEHICLE TRAILS,0
100064,0,BADMINTON,0
100065,0,PICNIC TABLES,0
100066,0,HIKING TRAIL,0
100067,0,ICE SKATING,0
100068,0,SNOW TUBING,0
100069,0,MARINA,0
100070,0,SOCCER FIELDS,0
100071,0,EMERGENCY SERVICES,0
100072,0,MUSEUM,0
100073,0,SAILBOARDING,0
100074,0,"TRAILS, ALL TERRAIN/OHV",0
100075,0,"TRAILS, HORSE",0
100076,0,"TRAILS, DIFFICULT HIKING",0
100077,0,BOAT RENTAL,0
100078,0,GONDOLA RIDES,0
100079,0,GOLF,0
100080,0,CAVING,0
100081,0,WINERY TOURS,0
100082,0,SHUFFLE BOARD,0
100083,0,STARGAZING,0
100084,0,MOTEL,0
